"update","training_loss","validation_loss","gradient_norm"
0,NA,5.56357061801181,NA
500,2.47753567845941,2.44469156332146,1.29067445468404
1000,2.06968882894809,2.17681324162243,1.24433889953113
1500,2.09235295612189,1.98017914002987,1.07559900708242
2000,1.96703444747752,1.91083203824578,1.18790351826683
2500,1.96202738129602,1.80558089955319,1.11666254978314
3000,1.78740190510179,1.79700890150201,0.998960979997854
3500,1.62525029384448,1.75788701693606,1.00872543582933
4000,1.71910878199195,1.74675461606856,0.922474029245827
4500,1.63329153401095,1.73780904022759,0.936841264600334
5000,1.54352809645595,1.69145782344986,0.810638736589509
5500,1.4815714897746,1.68034978114263,0.80797941291048
6000,1.66529714881054,1.66642847620707,0.918228004830109
6500,1.61886941882183,1.68489278320406,0.861468195519644
7000,1.68069015031055,1.62350366018268,0.869920330122166
7500,1.54792331126248,1.64490192713195,0.782102547596639
8000,1.75976852256117,1.64097126299931,0.913301058712154
8500,1.58875464579019,1.63150201580137,0.842273605926749
9000,1.45852592112392,1.59517445429705,0.768507506237009
9500,1.48897430573369,1.59838631474959,0.744878005476405
10000,1.44901112467686,1.5834259697109,0.725848916679074
10500,1.42467402337856,1.60457490751322,0.749044971487398
11000,1.51831491608438,1.58651485771631,0.723842308606601
11500,1.42746119098685,1.55863879240866,0.681769100303828
12000,1.40844393452437,1.56754953269947,0.717748710066633
12500,1.48901670552756,1.57331900037427,0.709797258239934
13000,1.4755784359959,1.55612896304566,0.719046135698809
13500,1.45910494718233,1.54054795412556,0.726301951139681
14000,1.30275180092279,1.57400783866872,0.795198830659236
14500,1.62528124371535,1.53579148389453,0.767636900589763
15000,1.43303054930489,1.53150072547469,0.683643115157255
15500,1.49554158718906,1.50756238988905,0.746215473409894
16000,1.31509570087215,1.53164994703039,0.712196747492384
16500,1.39691739282433,1.49420060489553,0.734483138120567
17000,1.32365489802053,1.50909750371854,0.673557712076878
17500,1.42366141734917,1.53498068309276,0.646162518686779
18000,1.40583482365868,1.53613451907689,0.762794864030139
18500,1.39921602972561,1.51678073715847,0.71400398407603
19000,1.45929823696843,1.5138710901992,0.722898127265112
19500,1.35728891865472,1.50671208104256,0.801334558711438
20000,1.42477011296042,1.51512792834578,0.73187107270017
